Country,Period,Total,Women,Men,Share of people with no bias,Political,Educational,Economic,Physical integrity
Algeria,2010-2014,98.67,97.47,99.84,1.33,80.08,37.17,74.08,91.83
Andorra,2017-2022,43.13,41.62,44.60,56.87,23.61,2.59,15.84,21.22
Argentina,2017-2022,74.28,72.01,76.70,25.72,33.90,13.56,24.63,59.82
Armenia,2017-2022,92.07,90.46,95.57,7.93,56.09,18.23,67.29,66.64
Australia,2017-2022,37.01,32.05,43.89,62.99,22.89,2.59,13.29,18.92
Azerbaijan,2010-2014,98.70,97.60,99.80,1.30,83.73,30.24,90.72,70.06
Bangladesh,2017-2022,99.42,99.18,99.66,0.58,66.83,42.83,86.58,87.83
Belarus,2010-2014,90.42,86.81,94.90,9.58,77.85,21.24,58.24,55.50
Bolivia (Plurinational State of),2017-2022,91.29,90.41,92.19,8.71,37.88,21.67,38.03,82.20
Brazil,2017-2022,86.32,85.97,86.75,13.68,37.80,9.59,30.76,76.73
Canada,2017-2022,41.14,34.00,47.94,58.86,27.87,7.02,16.25,24.24
Chile,2017-2022,79.90,77.19,82.91,20.10,56.00,23.40,35.70,56.90
China,2017-2022,91.77,89.92,94.01,8.23,57.44,21.05,56.46,74.57
Colombia,2017-2022,91.18,92.76,94.01,8.82,54.14,18.16,28.16,81.58
Cyprus,2017-2022,81.80,78.19,85.68,18.20,47.40,15.50,51.60,60.20
Ecuador,2017-2022,92.33,91.55,93.19,7.67,51.17,22.08,38.42,81.00
Egypt,2017-2022,99.58,99.31,99.84,0.42,86.58,30.00,93.58,90.42
Estonia,2010-2014,78.28,73.73,83.92,21.72,57.53,16.18,45.79,41.55
Ethiopia,2017-2022,98.86,98.85,98.87,1.14,44.23,16.02,61.54,95.12
Georgia,2010-2014,94.68,93.37,96.20,5.32,65.89,18.14,66.97,76.87
Germany,2017-2022,40.18,36.18,44.41,59.82,13.15,4.19,15.25,25.46
Ghana,2010-2014,98.97,98.83,99.10,1.03,84.47,27.58,76.55,90.34
Greece,2017-2022,64.92,56.99,73.89,35.08,28.67,7.75,45.75,31.75
Guatemala,2017-2022,89.59,88.94,90.31,10.41,58.75,15.38,28.89,76.32
Haiti,2010-2014,98.95,98.04,99.90,1.05,74.95,59.67,71.84,88.48
"Hong Kong, China (SAR)",2017-2022,80.82,78.63,83.40,19.18,50.12,18.46,42.27,59.33
India,2010-2014,99.09,98.71,99.39,0.91,64.10,35.24,69.91,92.82
Indonesia,2017-2022,99.66,99.71,99.59,0.34,77.66,43.91,84.28,94.06
Iran (Islamic Republic of),2017-2022,95.53,93.72,97.26,4.47,66.84,46.90,77.45,67.31
Iraq,2017-2022,98.92,98.14,99.67,1.08,83.83,31.50,87.08,87.42
Japan,2017-2022,63.41,61.86,65.42,36.59,34.44,12.49,34.29,30.75
Jordan,2017-2022,98.50,98.15,98.85,1.50,83.04,24.44,87.45,81.46
Kazakhstan,2017-2022,93.42,91.70,95.49,6.58,65.60,27.82,65.75,74.92
Kenya,2017-2022,95.66,94.69,96.55,4.34,71.41,17.85,50.39,85.47
Kuwait,2010-2014,98.31,96.72,99.25,1.69,88.10,36.45,77.13,85.80
Kyrgyzstan,2017-2022,98.08,97.58,98.91,1.92,77.17,51.83,83.08,90.08
Lebanon,2017-2022,95.58,93.17,98.00,4.42,66.83,15.08,67.83,83.83
Libya,2017-2022,99.67,99.48,99.84,0.33,82.86,30.60,81.61,93.39
Malaysia,2017-2022,99.54,99.70,99.39,0.46,91.77,36.10,59.79,84.62
Mexico,2017-2022,90.18,88.81,91.53,9.82,56.98,18.67,32.85,73.18
Mongolia,2017-2022,97.44,97.40,97.47,2.56,74.18,31.62,66.73,80.16
Morocco,2017-2022,93.67,90.83,96.50,6.33,61.92,20.42,63.42,79.67
Myanmar,2017-2022,99.42,99.67,99.17,0.58,74.50,52.50,89.17,94.42
Netherlands,2010-2014,44.16,37.82,51.47,55.84,21.29,4.63,13.56,27.92
