ISO3,Country,Period,Total,Women,Men,Share of people with no bias,Political,Educational,Economic,Physical integrity
DZA,Algeria,2010-2014,98.39,96.94,99.79,1.61,83.15,38.51,76.32,91.45
AND,Andorra,2017-2022,42.46,40.71,44.15,57.54,23.65,2.60,15.90,20.76
ARG,Argentina,2017-2022,71.93,69.71,74.33,28.07,34.68,13.85,25.03,57.74
ARM,Armenia,2017-2022,91.94,90.42,95.27,8.06,58.23,18.32,68.09,65.88
AUS,Australia,2017-2022,34.83,29.05,43.26,65.17,23.27,2.62,13.32,17.17
AZE,Azerbaijan,2010-2014,98.70,97.59,99.80,1.30,83.98,30.24,90.90,70.06
BGD,Bangladesh,2017-2022,99.37,99.10,99.63,0.63,68.84,44.46,88.07,87.83
BLR,Belarus,2010-2014,89.93,86.23,94.47,10.07,78.33,21.42,58.64,55.38
BOL,Bolivia (Plurinational State of),2017-2022,90.90,89.75,92.03,9.10,38.55,21.95,37.97,82.06
BRA,Brazil,2017-2022,84.45,84.17,84.78,15.55,39.91,9.75,31.06,75.69
CAN,Canada,2017-2022,41.14,34.00,47.94,58.86,27.87,7.02,16.25,24.24
CHL,Chile,2017-2022,79.74,76.39,83.41,20.26,59.03,24.32,35.88,55.53
CHN,China,2017-2022,91.81,90.04,93.97,8.19,57.80,21.07,56.49,74.44
COL,Colombia,2017-2022,91.18,92.76,89.61,8.82,54.14,18.16,28.16,81.58
CYP,Cyprus,2017-2022,80.48,77.50,83.75,19.52,49.03,15.82,52.74,57.59
CZE,Czechia,2017-2022,77.69,71.10,85.52,22.31,63.54,25.15,49.91,43.03
ECU,Ecuador,2017-2022,92.09,91.41,92.83,7.91,51.92,22.29,38.65,80.83
EGY,Egypt,2017-2022,99.52,99.16,99.82,0.48,88.79,30.51,93.80,90.28
EST,Estonia,2010-2014,76.77,72.87,82.00,23.23,58.82,16.77,46.97,37.55
ETH,Ethiopia,2017-2022,98.77,98.73,98.81,1.23,45.03,16.09,61.73,95.18
GEO,Georgia,2010-2014,94.43,93.06,95.97,5.57,68.06,18.30,67.97,76.32
DEU,Germany,2017-2022,37.45,33.06,42.12,62.55,13.18,4.21,15.37,23.06
GHA,Ghana,2010-2014,98.97,98.83,99.10,1.03,84.47,27.58,76.55,90.34
GRC,Greece,2017-2022,64.00,55.21,73.98,36.00,29.34,7.86,46.48,30.56
GTM,Guatemala,2017-2022,89.46,88.82,90.16,10.54,59.55,15.76,28.77,76.06
HTI,Haiti,2010-2014,98.91,97.95,99.89,1.09,76.13,60.00,72.09,88.11
HKG,"Hong Kong, China (SAR)",2017-2022,80.59,78.43,83.14,19.41,50.37,18.48,42.28,59.07
IND,India,2010-2014,99.22,98.88,99.45,0.78,68.91,38.50,75.09,92.39
IDN,Indonesia,2017-2022,99.65,99.71,99.58,0.35,77.90,43.97,84.26,94.08
IRN,Iran (Islamic Republic of),2017-2022,95.47,93.67,97.24,4.53,67.37,47.37,77.50,67.20
IRQ,Iraq,2017-2022,98.98,98.12,99.83,1.02,84.09,31.58,87.32,87.42
JPN,Japan,2017-2022,58.82,54.44,64.17,41.18,39.07,14.49,37.03,24.58
JOR,Jordan,2017-2022,98.46,98.10,98.81,1.54,84.03,24.46,87.41,81.35
KAZ,Kazakhstan,2017-2022,93.23,91.26,95.68,6.77,68.41,28.65,66.18,72.56
KEN,Kenya,2017-2022,95.49,94.54,96.39,4.51,73.07,18.18,50.76,85.51
KOR,Korea (Republic of),2017-2022,89.88,86.83,93.08,10.12,72.85,33.73,65.54,59.20
KWT,Kuwait,2010-2014,98.47,96.57,99.43,1.53,91.28,37.61,78.57,85.51
KGZ,Kyrgyzstan,2017-2022,98.02,97.44,98.99,1.98,78.81,52.18,83.39,90.18
