Country,Survey ,Year,MPI,Health,Education,Standard of living,Nutrition,Child mortality,Years of schooling,School attendance,Cooking fuel,Sanitation,Drinking water,Electricity,Housing,Assets
Afghanistan,DHS,2015/2016,0.27172124,10.00938267,44.98876929,45.00184953,,10.0093823,19.2488778,25.73989003,10.07159082,9.959967992,6.158438532,4.840560972,11.13867772,2.832613832
Albania,DHS,2017/2018,0.00274788,28.25998068,55.05461693,16.6854009,28.11338899,0.146592748,31.27865891,23.77595948,5.762248905,2.905299767,4.206278599,0,2.815339714,0.996232895
Algeria,MICS,2018/2019,0.0054091,31.214354,49.30126,19.48438,24.21632235,6.99803378,29.61211378,19.6891503,1.306328038,6.32911238,4.243756208,1.698844782,4.544302801,1.362035583
Angola,DHS,2015/2016,0.28243506,21.16458565,32.0500195,46.78539634,17.2718479,3.892737258,18.52794822,13.52207117,7.82832712,8.724594717,7.259756795,8.494529732,8.680104327,5.798082751
Argentina,MICS,2019/2020,0.0014693,69.67954,21.381985,8.9384791,35.84787792,33.8316555,12.04597306,9.336015003,0.238610268,2.403599727,0.312703335,0.190729483,3.482949669,2.30988604
Armenia,DHS,2015/2016,0.000690069,33.11138803,36.77469054,30.11392144,33.11138803,0,5.712802819,31.06188772,5.842503415,15.3409281,3.082697916,0,1.904267606,3.943524402
Bangladesh,MICS,2019,0.1040603,17.278393,37.63383,45.0877788,15.19057501,2.087813427,26.77761547,10.85621297,12.46602988,8.322342089,0.762616823,2.464613073,12.45522407,8.616957197
Barbados,MICS,2012,0.00852886,96.04696035,0.66095721,3.29208672,96.04695592,,0.660957197,0,0,0.31295577,0.088212255,0.90542417,1.765175621,0.220319066
Belize,MICS,2015/2016,0.01710883,39.4982487,20.9413141,39.56044018,31.12456448,8.373684396,6.517928063,14.42338563,10.08398432,6.607101095,2.272735626,8.001482806,9.251712439,3.343421142
Benin,DHS,2017/2018,0.36767483,20.84377557,36.2705946,42.88563132,16.1462496,4.69752543,20.09733443,16.17325846,10.02537874,9.743254951,5.636883211,8.322387411,6.484257223,2.673470536
Bhutan,MICS,2010,0.17486399,24.22602475,36.60193086,39.1720444,12.09434724,12.13167546,28.34475981,8.257169824,8.843862943,7.016862559,1.036114769,6.534011755,9.805341305,5.935854327
Bolivia (Plurinational State of),EDSA,2016,0.0377543,18.658755,31.491717,49.849531,16.37700719,2.281745337,25.24213082,6.249586532,10.46368974,12.73895608,4.438189073,5.561443604,11.03630362,5.610948005
Bosnia and Herzegovina,MICS,2011/2012,0.0083075,79.66490388,7.21665397,13.11844289,79.66490313,,4.025535545,3.191118196,9.864564054,1.750440696,0.256512692,0.341763678,0.33256624,0.572595765
Botswana,BMTHS,2015/2016,0.0726387,30.290413,16.492962,53.21663,28.29251033,1.997902701,9.09451697,7.39844518,12.52977561,10.67724153,2.994887605,11.83614845,6.926489739,8.252081878
Brazil,PNAD,2015,0.01634604,49.76141155,22.90375084,27.33483613,,49.76141145,19.83490929,3.068842586,4.521165449,11.92133465,7.373641697,0.559902226,1.928354773,1.030437882
Burkina Faso,DHS,2010,0.523424279,20.50383267,40.38058102,39.11558631,15.0941072,5.409725472,21.78046131,18.60011971,8.875006394,8.123143826,4.383402212,8.676821636,7.614438717,1.442773527
Burundi,DHS,2016/2017,0.408861094,23.8302993,27.1548509,49.0148498,20.6249246,3.205374706,17.35422516,9.800625737,10.17110944,6.211043014,5.812907149,9.989083915,9.593421128,7.237285151
Cambodia,DHS,2014,0.17034812,21.7593044,31.66982234,46.5708673,19.96935659,1.789948841,21.09139405,10.57842934,11.8191911,9.981909589,6.95136269,8.550379308,7.108127591,2.159900899
Cameroon,DHS,2018,0.2320601,25.223848,27.64108,47.135072,19.23158481,5.992268384,13.73073249,13.91034658,10.28992615,8.006692771,6.43577456,8.276987356,8.852354776,5.273332114
Central African Republic,MICS,2018/2019,0.4613475,20.198269,27.81203,51.989704,15.87321835,4.325048635,16.71214696,11.09988185,9.629800717,9.086023936,7.350707412,9.041878359,9.085980772,7.795313009
Chad,MICS,2019,0.5170112,19.145649,36.57417,44.280179,14.38282212,4.762828664,18.68332048,17.8908491,8.812562069,8.333153423,5.048402722,8.681984906,8.635117154,4.768959371
China,CFPS,2014,0.0160667,35.2480626,39.18562,25.5663133,34.87670842,0.37135264,20.66268483,18.52294478,11.49630632,3.599537924,7.363391792,0.130028269,,2.977045033
Colombia,DHS,2015/2016,0.01965727,11.99488714,39.51151669,48.49359393,,11.99488732,32.67829926,6.833217345,10.45821548,9.908786204,9.317914641,4.087640891,11.21340441,3.507634451
Comoros,DHS,2012,0.18077141,20.75811625,31.61280155,47.62907922,17.41424479,3.343871963,18.04485023,13.56795132,11.01300987,9.588697319,5.92701524,6.774765066,7.294087053,7.03150714
Congo,MICS,2014/2015,0.1116763,23.40903282,20.15032321,56.4406395,18.72065252,4.688379891,14.44941851,5.700904393,11.74460714,11.45049565,7.383014091,10.0177746,9.595303599,6.249449611
Congo (Democratic Republic of the), MICS,2017/2018,0.3311887,23.130655,19.854943,57.014409,19.51337768,3.617274902,8.279723079,11.57521612,10.7050025,10.02175582,8.507366954,9.675355313,9.937163149,8.167764481
Costa Rica,MICS,2018,0.0020063,40.48737,40.9883,18.524324,19.09914328,21.38822829,26.62731169,14.36099289,,4.236420505,1.809157672,1.900284131,7.932647478,2.645814073
Côte d'Ivoire,MICS,2016,0.235871,19.61742491,40.40237665,39.98019695,14.582357,5.035066871,22.42250828,17.97986852,10.2196954,9.472610344,5.428976636,6.825375937,5.684554261,2.34898675
Cuba,MICS,2019,0.0026887,10.099748,39.828346,50.0719022,6.446056164,3.653692395,32.32519395,7.503156277,8.116596208,10.7823817,3.974189538,0.996716232,13.68268755,12.51932999
Dominican Republic,MICS,2019,0.0087862,14.560087,46.23513,39.20478,9.397099532,5.162986695,33.20461343,13.03052045,8.076411061,9.100978159,1.830749392,2.864196731,9.802012868,7.530431684
Ecuador,ENSANUT,2018,0.0079374,33.885877,27.3299,38.784227,30.54998792,3.335886862,15.42753004,11.90236781,7.251563467,6.970378446,5.70075775,3.338413879,7.044234149,8.478879674
Egypt,DHS,2014,0.019681797,40.01786154,53.08004573,6.902092732,33.13464241,6.88321913,24.25590451,28.82414122,,2.394509433,1.105353755,0.18029782,2.496358362,0.725573362
El Salvador,MICS,2014,0.03246251,15.49379677,43.3938086,41.11239314,13.26522381,2.228572557,26.4486558,16.94515192,10.70980037,8.498912503,3.20753457,4.030088733,10.39699077,4.269068966
Eswatini (Kingdom of),MICS,2014,0.08127132,29.2781055,17.88565964,52.83623934,23.39534869,5.882753573,12.38682258,5.498835351,12.1462894,8.960743955,8.80351927,10.69711014,5.995243249,6.233333796
Ethiopia,DHS,2019,0.3666042,14.034353,31.46885,54.496802,12.217795,1.816553279,17.37387532,14.09497352,10.34366355,9.817275047,7.092010806,8.680002075,10.23402693,8.329824485
Gabon,DHS,2012,0.069695362,32.6500094,21.38536695,45.96462365,23.67913288,8.970876523,13.8188221,7.566544849,7.690798509,11.64105878,7.987667302,5.914212419,7.368130523,5.362756122
Gambia,DHS,2019/2020,0.1980231,32.705706,33.00473,34.2895646,24.83618835,7.86951559,10.57159333,22.4331351,11.61810238,8.084547161,2.848141766,7.386201268,3.421229471,0.931345579
Georgia,MICS,2018,0.0012446,47.14305,23.763707,29.0932382,12.52191202,34.62114344,6.125706632,17.63799989,7.727209597,6.767323192,5.338585004,0.141360162,7.099698831,2.019061225
